n,mse,coef_rmse,coef_max_abs_error
17200,2.199623068255857e-32,3.967333877300295e-17,1.526556658859590e-16
17300,1.435766165084639e-32,3.972668877780414e-17,1.526556658859590e-16
17400,1.547882309524366e-32,3.944130332524846e-17,1.526556658859590e-16
17500,2.091539324943512e-32,3.995082478767509e-17,1.526556658859590e-16
17600,1.272795049355670e-32,4.050877828595418e-17,1.526556658859590e-16
17700,2.018286702494840e-32,4.045706859344130e-17,1.526556658859590e-16
17800,1.570359266144857e-32,4.020591908578068e-17,1.526556658859590e-16
17900,1.719149391410924e-32,4.004103234490714e-17,1.526556658859590e-16
18000,1.701894827052718e-32,4.010361833549089e-17,1.526556658859590e-16
18100,1.784977451215164e-32,4.006733758044667e-17,1.526556658859590e-16
18200,1.466739533159421e-32,4.002636449181421e-17,1.526556658859590e-16
18300,1.339667841519147e-32,3.999309629871640e-17,1.526556658859590e-16
18400,1.865942363529887e-32,3.988901452800053e-17,1.526556658859590e-16
18500,1.301405406360333e-32,3.986136044714442e-17,1.526556658859590e-16
18600,1.741019228709102e-32,3.945680810433113e-17,1.526556658859590e-16
18700,1.647639838270741e-32,3.945209945756104e-17,1.526556658859590e-16
18800,2.182479047386402e-32,4.001875011304907e-17,1.526556658859590e-16
18900,1.998478825551377e-32,3.942127391980550e-17,1.526556658859590e-16
19000,1.759634357248724e-32,3.976438891945993e-17,1.526556658859590e-16
19100,1.333712469754407e-32,4.007631888234781e-17,1.526556658859590e-16
19200,1.541963648448202e-32,4.004140787122386e-17,1.526556658859590e-16
19300,1.846694854294353e-32,3.980278060794754e-17,1.526556658859590e-16
19400,2.060262488308386e-32,4.001047936895144e-17,1.526556658859590e-16
19500,1.416718016752269e-32,4.006738525461967e-17,1.526556658859590e-16
19600,1.775017278930399e-32,3.989441315192832e-17,1.526556658859590e-16
19700,1.341776375694727e-32,3.975204878026690e-17,1.526556658859590e-16
19800,1.345075115532930e-32,3.954150130879331e-17,1.526556658859590e-16
19900,1.224409821084863e-32,3.971791451094168e-17,1.526556658859590e-16
20000,1.621570147736171e-32,3.966771867913565e-17,1.526556658859590e-16
